StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,age,safety-score,pol-score,politician,police
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By clicking ""Yes, I consent,"" 
below, I verify that I have read and understood this consent form and 
agree to participate in this study.",Are you 18 years old or older?,"How safe did you find the presented gathering? Please select a score between 1 and 7, with 1 being the least and 7 the most safe.","Among the options below, which best describes your political ideology?",politician,police
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID16""}","{""ImportId"":""QID15""}","{""ImportId"":""QID2""}","{""ImportId"":""politician""}","{""ImportId"":""police""}"
2021-02-08 07:45:35,2021-02-08 07:46:23,0,160.2.103.141,100,47,1,2021-02-08 07:46:23,R_1dKOioQWue8lfUd,,,,,43.5780029296875,-116.2953948974609375,anonymous,EN,1,1,5,1,neutral,n
2021-02-08 08:21:20,2021-02-08 08:22:03,0,144.121.36.211,100,43,1,2021-02-08 08:22:03,R_uermpIdTgaIr1SN,,,,,42.325103759765625,-72.62760162353515625,anonymous,EN,1,1,6,1,biden,y
2021-02-08 08:22:19,2021-02-08 08:22:45,0,74.64.117.187,100,25,1,2021-02-08 08:22:45,R_3Jh3IDfIqnKethO,,,,,40.782806396484375,-73.9745025634765625,anonymous,EN,1,1,6,1,neutral,y
2021-02-08 08:21:56,2021-02-08 08:22:51,0,72.69.36.124,100,54,1,2021-02-08 08:22:51,R_3oNug6hQ47DTsCT,,,,,40.994293212890625,-73.79740142822265625,anonymous,EN,1,1,3,1,trump,n
2021-02-08 08:24:00,2021-02-08 08:24:31,0,144.121.36.211,100,31,1,2021-02-08 08:24:32,R_2t4rLsfCNzr4cfD,,,,,42.325103759765625,-72.62760162353515625,anonymous,EN,1,1,3,1,trump,y
2021-02-08 08:22:58,2021-02-08 08:24:38,0,216.24.186.201,100,100,1,2021-02-08 08:24:38,R_30vDJLYMWdPQDF3,,,,,34.048492431640625,-118.252899169921875,anonymous,EN,1,1,3,1,trump,n
2021-02-08 08:26:40,2021-02-08 08:27:18,0,199.193.124.106,100,37,1,2021-02-08 08:27:18,R_oYUIsNnAWl5lUkN,,,,,34.048492431640625,-118.252899169921875,anonymous,EN,1,1,2,2,neutral,y
2021-02-08 08:26:42,2021-02-08 08:27:29,0,68.173.149.213,100,47,1,2021-02-08 08:27:30,R_0HD6KicjU6kv21z,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,1,1,6,1,neutral,n
2021-02-08 08:26:17,2021-02-08 08:27:31,0,24.60.26.34,100,73,1,2021-02-08 08:27:31,R_2OVKYYnSsiGUm19,,,,,42.0507965087890625,-72.56719970703125,anonymous,EN,1,1,7,1,biden,n
2021-02-08 08:27:04,2021-02-08 08:27:53,0,76.119.101.158,100,49,1,2021-02-08 08:27:54,R_3jcczHvroDWRMcF,,,,,42.325103759765625,-72.62760162353515625,anonymous,EN,1,1,2,1,biden,y
2021-02-08 08:29:14,2021-02-08 08:29:50,0,68.160.129.47,100,35,1,2021-02-08 08:29:50,R_2vYA3AIlxWPRRKe,,,,,42.5326995849609375,-71.03389739990234375,anonymous,EN,1,1,2,1,trump,y
2021-02-08 08:24:27,2021-02-08 08:30:09,0,144.121.36.210,100,341,1,2021-02-08 08:30:09,R_1mkZXpjjKlrZuii,,,,,42.325103759765625,-72.62760162353515625,anonymous,EN,1,1,3,1,biden,y
2021-02-08 08:30:07,2021-02-08 08:31:31,0,76.119.101.158,100,83,1,2021-02-08 08:31:31,R_33fGap95rofLkhy,,,,,42.325103759765625,-72.62760162353515625,anonymous,EN,1,1,3,1,neutral,y
2021-02-08 08:31:02,2021-02-08 08:31:33,0,71.233.115.28,100,31,1,2021-02-08 08:31:33,R_3jeZEYLuUpZhyOg,,,,,42.325103759765625,-72.62760162353515625,anonymous,EN,1,1,2,1,trump,n
2021-02-08 08:30:56,2021-02-08 08:31:50,0,73.68.117.133,100,54,1,2021-02-08 08:31:51,R_pAFeGW3MWaogITL,,,,,42.3654022216796875,-72.46710205078125,anonymous,EN,1,1,6,1,biden,n
2021-02-08 08:32:41,2021-02-08 08:33:22,0,73.167.46.178,100,40,1,2021-02-08 08:33:22,R_33a4WHZqgw8G03Q,,,,,42.3654022216796875,-72.46710205078125,anonymous,EN,1,1,4,1,biden,y
2021-02-08 08:33:24,2021-02-08 08:33:49,0,73.69.176.113,100,25,1,2021-02-08 08:33:49,R_10Z9MtU1FxWiWPb,,,,,42.3654022216796875,-72.46710205078125,anonymous,EN,1,1,5,1,neutral,y
2021-02-08 08:33:37,2021-02-08 08:35:11,0,108.30.16.90,100,94,1,2021-02-08 08:35:11,R_2SoRm9RthmC01Wq,,,,,40.731597900390625,-73.99849700927734375,anonymous,EN,1,1,3,1,trump,y
2021-02-08 08:35:40,2021-02-08 08:36:15,0,71.234.179.218,100,34,1,2021-02-08 08:36:15,R_dhTVLdNpHrhCHoR,,,,,42.3654022216796875,-72.46710205078125,anonymous,EN,1,1,1,1,trump,n
2021-02-08 08:37:40,2021-02-08 08:38:09,0,144.121.36.211,100,29,1,2021-02-08 08:38:09,R_2c1S3KMrhI8BrHI,,,,,42.325103759765625,-72.62760162353515625,anonymous,EN,1,1,4,1,neutral,n
2021-02-08 08:37:54,2021-02-08 08:38:32,8,144.121.36.211,100,38,1,2021-02-08 08:38:33,R_31zrerOpf5rJuVy,,,,,42.325103759765625,-72.62760162353515625,anonymous,EN,1,1,4,1,neutral,n
2021-02-08 08:37:49,2021-02-08 08:38:36,0,144.121.36.209,100,46,1,2021-02-08 08:38:36,R_eyfZSknFT11sXG9,,,,,42.325103759765625,-72.62760162353515625,anonymous,EN,1,1,5,1,biden,n
2021-02-08 08:38:44,2021-02-08 08:39:22,0,174.242.76.245,100,37,1,2021-02-08 08:39:22,R_2pS19cdQsj62uYC,,,,,42.34979248046875,-71.07649993896484375,anonymous,EN,1,1,6,1,neutral,y
2021-02-08 08:41:57,2021-02-08 08:42:39,0,67.49.61.226,100,41,1,2021-02-08 08:42:39,R_3ELUpGUOqrGzo91,,,,,34.161895751953125,-116.433502197265625,anonymous,EN,1,1,7,1,biden,y
2021-02-08 08:44:39,2021-02-08 08:45:22,0,69.138.251.26,100,42,1,2021-02-08 08:45:22,R_2CNdw52l7bbeqcq,,,,,39.3529052734375,-76.57430267333984375,anonymous,EN,1,1,7,1,biden,n
2021-02-08 08:45:39,2021-02-08 08:46:14,0,75.58.61.228,100,35,1,2021-02-08 08:46:14,R_3kFjzIZRCaBE0ij,,,,,35.91119384765625,-78.9178009033203125,anonymous,EN,1,1,3,1,trump,n
2021-02-08 08:45:03,2021-02-08 08:46:33,0,144.121.36.211,100,90,1,2021-02-08 08:46:33,R_BFDvRr0VEUYJ1aF,,,,,42.325103759765625,-72.62760162353515625,anonymous,EN,1,1,2,2,trump,y
2021-02-08 08:50:38,2021-02-08 08:51:29,0,71.192.29.226,100,50,1,2021-02-08 08:51:30,R_RqcRM3Q4P6UrItj,,,,,42.325103759765625,-72.62760162353515625,anonymous,EN,1,1,3,1,trump,n
2021-02-08 08:50:44,2021-02-08 08:51:31,0,71.192.38.136,100,46,1,2021-02-08 08:51:31,R_1DFNtRpSU6tcrdT,,,,,42.325103759765625,-72.62760162353515625,anonymous,EN,1,1,1,1,neutral,y
2021-02-08 08:50:40,2021-02-08 08:51:37,0,172.56.23.160,100,56,1,2021-02-08 08:51:37,R_12gJYTFcFAOqgE5,,,,,41.873992919921875,-71.3843994140625,anonymous,EN,1,1,6,1,neutral,n
2021-02-08 08:51:19,2021-02-08 08:51:48,0,75.168.93.25,100,28,1,2021-02-08 08:51:48,R_1g1LbUEfsoKLXPX,,,,,44.954803466796875,-93.15509796142578125,anonymous,EN,1,1,6,2,trump,y
